,news,source,label
25, ರಕ್ತದ ಕಲೆಯ ವಸ್ತ್ರ ಕಟ್ಟಿಕೊಂಡು ಪೊಲೀಸರ ನಾಟಕ?,prajavani,0
26, ಲಂಡನ್‌ ಸೇತುವೆ ಬಳಿ ಹನುಮಾನ್‌ ಚಾಲೀಸಾ ಪಠಣ?,prajavani,0
27, ವ್ಯಕ್ತಿಯೊಬ್ಬನನ್ನು ಗುಂಪೊಂದು ಥಳಿಸುತ್ತಿರುವ ವಿಡಿಯೊ,prajavani,0
28, ಪ್ರತ್ಯೇಕ ದೇಶಕ್ಕಾಗಿ ಆಗ್ರಹ,prajavani,0
29, ರಾಹುಲ್ ಜತೆ ಇದ್ದದ್ದು ಚೀನಾ ರಾಯಭಾರಿ ಅಲ್ಲ,prajavani,0
30, ಲವ್ ಜಿಹಾದ್‌ ಆರೋಪ ನಿಜವೇ?,prajavani,0
31, ರೈಲಿನತ್ತ ಕಲ್ಲು ಎಸೆದವರು ಯಾರು?,prajavani,0
32, ಮಸೀದಿ ಗೋಡೆ ಕೆಡವಿದ್ದಕ್ಕೆ ಶಿವ ದೇವಾಲಯ ಕೆಡವಿದ ಕಾಂಗ್ರೆಸ್‌,prajavani,0
33, ಪೊಲೀಸರ ಸಮ್ಮುಖದಲ್ಲೇ ಕಲ್ಲು ತೂರಾಟ,prajavani,0
34, ವಿಶ್ವವಿದ್ಯಾಲಯದಲ್ಲಿ ಬಾಂಬ್ ತಯಾರಿಕೆ,prajavani,0
35, ಧರ್ಮಗಳ ಧಾರ್ಮಿಕ ಕೇಂದ್ರಗಳಿಗೆ ಪ್ರತ್ಯೇಕ ವಿದ್ಯುತ್‌ ದರ,prajavani,0
36, ಮುಸ್ಲಿಂ ವ್ಯಕ್ತಿ ಪೊಲೀಸರಿಗೆ ಬೆದರಿಕೆ ಹಾಕಿದನೇ?,prajavani,0
37,ಪ್ರಧಾನಿ ಪರಿಹಾರ ನಿಧಿಗೆ ವಿವೇಕ್ ಅಗ್ನಿಹೋತ್ರಿ ₹200 ಕೋಟಿ ಕೊಟ್ಟಿರುವುದು ನಿಜವೇ?,prajavani,0
38, ಬಿರಿಯಾನಿಯಲ್ಲಿ ಸಂತಾನ ಶಕ್ತಿ ಹರಣ ಮಾತ್ರೆ– ಈ ಸುದ್ದಿ ಸುಳ್ಳು,prajavani,0
39, ಉತ್ತರ ಪ್ರದೇಶದಲ್ಲಿ ಮಹಿಳೆಯರ ಮೇಲೆ ದಾಳಿ ನಡೆಸಿದ್ದು ಯಾರು?,prajavani,0
40," ಪೊಲೀಸ್ ಮೇಲೆ ಹಲ್ಲೆ ಆರೋಪ, ವೈರಲ್ ಆಗಿರುವ ಚಿತ್ರ ನಿಜವೇ?",prajavani,0
41, ಕಾರಾಗಿರಿ ಲವ್‌ ಜಿಹಾದ್ ಉತ್ತೇಜಿಸುತ್ತಿದೆ ಎಂಬ ಆರೋಪ ನಿಜವೇ?,prajavani,0
42, ಭಗವಂತ್‌ ಮಾನ್‌ ಮತ್ತು ಬೈಕ್ ಕಳ್ಳತನ ಇದು ಸುಳ್ಳು ಸುದ್ದಿ,prajavani,0
43,ಫ್ಯಾಕ್ಟ್‌ಚೆಕ್‌ ಯೋಗಿ ಹಣೆಗೆ ಹಚ್ಚಿಕೊಂಡಿದ್ದು ಯೋಧನ ಚಿತೆಯ ಬೂದಿಯಲ್ಲ,prajavani,0
44, ವಿದ್ಯುತ್ ಚಾಲಿತ ಟ್ಯಾಕ್ಸಿ ಸೇವೆ ಟಾಟಾ ಕಂಪನಿಯದಲ್ಲ,prajavani,0
45,ಎಲ್‌ಪಿಜಿ ಸಿಲಿಂಡರ್ ದರ ದೇಶದಲ್ಲೇ ಗರಿಷ್ಠ ಇರುವುದು ಹೈದರಾಬಾದ್‌ನಲ್ಲಿ ಅಲ್ಲ,prajavani,0
46, ರಸ್ತೆಗಾಗಿ ದೇವಸ್ಥಾನ ಕೆಡವಿ ಮಸೀದಿ ಉಳಿಸಿತೇ ಆಂಧ್ರ ಸರ್ಕಾರ?,prajavani,0
47," ಪಶ್ಚಿಮ ಬಂಗಾಳದ ಸ್ಥಿತಿ ಪಾಕಿಸ್ತಾನದಂತಾಗಿದೆಯೇ, ಆ ವಿಡಿಯೊ ಅಸಲಿಯೇ?",prajavani,0
48, ಉಕ್ರೇನ್ ಸುಂದರ ತಾಣಗಳೆಂದು ಬಿಂಬಿಸಿದ ವೈರಲ್ ವಿಡಿಯೊ ಚೀನಾದ್ದು,prajavani,0
49,  ಉತ್ತರ ಪ್ರದೇಶದಲ್ಲಿ ಹುಡುಗ ಪಾಕ್‌ ಪರ ಘೋಷಣೆ ಕೂಗಿದ್ದು ನಿಜವೇ?,prajavani,0
50, ಎಎಪಿ ಅಧಿಕಾರಕ್ಕೆ ಬಂದ ಬಳಿಕ ಖಾಲಿಸ್ತಾನಕ್ಕೆ ಮರುಜೀವ?,prajavani,0
51, ತೆರವು ಕಾರ್ಯಾಚರಣೆಯ ವಿಮಾನ ಹತ್ತಿದ್ದು ಪುಟಿನ್ ಅವರೇ?,prajavani,0
52, ಬಿಜೆಪಿ ಸೋಲಿಸಲು ಎಸ್‌ಪಿ ಮಾಡಿತೇ ಕುತಂತ್ರ,prajavani,0
53,"ವೀರೇಂದ್ರ ಹೆಗ್ಗಡೆ, ಇಳಯರಾಜ, ವಿಜಯೇಂದ್ರ ಪ್ರಸಾದ್, ಪಿ.ಟಿ ಉಷಾ ರಾಜ್ಯಸಭೆಗೆ",prajavani,0
54,"ಚಿನಕುರಳಿ, ಗುರುವಾರ, 07–07–2022",prajavani,0
55,ಜಮೀರ್‌ ಅಹಮ್ಮದ್‌ ಖಾನ್‌ ಬಳಿ ₹87 ಕೋಟಿ ಅಕ್ರಮ ಆಸ್ತಿ?,prajavani,0
56, ಏನದು?,prajavani,0
57," ಶಾಲಾ–ಕಾಲೇಜುಗಳಿಗೆ ರಜೆ, ನಿಷೇಧಾಜ್ಞೆ",prajavani,0
58," ಹಿಂದೂ–ಮುಸ್ಲಿಂ ಯುವಕರ ನಡುವೆ ಗಲಾಟೆ, ಮೂವರಿಗೆ ಚಾಕು ಇರಿತ",prajavani,0
59, ದೇವನೂರ ಮಹಾದೇವರ ಕೃತಿಗೆ ಭಾರಿ ಬೇಡಿಕೆ,prajavani,0
60, ಅಮ್ರಿತ್ ಪೌಲ್‌ ಫಾರ್ಮ್‌ಹೌಸ್‌ ಮೇಲೆ ದಾಳಿ,prajavani,0
61,ಸಿದ್ದರಾಮಯ್ಯಗೆ ‘ಜಯದೇವಶ್ರೀ’ ಪ್ರಶಸ್ತಿ,prajavani,0
62, ಮಹುವಾ ವಿರುದ್ಧ ಕ್ರಮಕ್ಕೆ ಬಿಜೆಪಿ ಆಗ್ರಹ,prajavani,0
63, ಹೈಕೋರ್ಟ್‌ಗೆ ವರದಿ ಸಲ್ಲಿಕೆ,prajavani,0
64, ಮನೆ ಮನೆಗೆ ನಲ್ಲಿ,prajavani,0
65, ಬನವಾಸಿಯಲ್ಲಿ ‘ಫಿಲಿಪ್ಪೀನ್ಸ್ ಅನಾನಸ್’,prajavani,0
66, ಅಂತರ್ಜಲ ಹೆಚ್ಚಿಸಲು ‘ಅಮೃತ ಸರೋವರ’,prajavani,0
67,ಗ್ಲೋಬಲ್‌ ಮಾಲ್‌ನಲ್ಲಿ ಮಿಡ್‌ನೈಟ್‌ ಸೇಲ್‌,prajavani,0
68, ಸಾರ್ವಜನಿಕ ಹಿತಾಸಕ್ತಿ ಅರ್ಜಿ ವಜಾ,prajavani,0
69, ಸಚಿವ ಪ್ರಭು ಚವ್ಹಾಣ,prajavani,0
70, ತಂತ್ರಜ್ಞಾನ ಲೋಕದ ಅನಾವರಣ,prajavani,0
71, ಶಾಲಾ ಕೋಣೆಗಳ‌ ಕೊರತೆ,prajavani,0
72,ಹೊಸಪೇಟೆ  ₹6 ಕೋಟಿಯಲ್ಲಿ ಧ್ವಜ ಸ್ತಂಭ ಸ್ಥಾಪನೆ,prajavani,0
